Strain.Number,Strain.Name,Generations.Selection,Day,value,drug.pressure
11,JM,72,3,0.125,yes
11,JM,96,6,0.38,yes
11,JM,120,7,0.94,yes
11,JM,144,8,0.25,yes
11,JM,168,9,0.38,yes
11,JM,192,10,0.19,yes
11,JM,216,11,0.19,yes
11,JM,240,12,0.125,yes
11,JM,264,13,0.125,yes
11,JM,288,14,0.38,yes
11,JM,312,15,0.38,yes
11,JM,336,16,0.38,yes
11,JM,360,17,0.19,yes
11,JM,384,18,1.5,yes
11,JM,408,19,NA,yes
11,JM,432,20,0.19,yes
13,MRS,24,1,0.25,yes
13,MRS,48,2,0.25,yes
13,MRS,72,3,0.38,yes
13,MRS,96,6,0.5,yes
13,MRS,120,7,0.125,yes
13,MRS,144,8,0.38,yes
13,MRS,168,9,0.25,yes
13,MRS,192,10,0.38,yes
13,MRS,216,11,0.19,yes
13,MRS,240,12,0.38,yes
13,MRS,264,13,0.38,yes
13,MRS,288,14,0.094,yes
13,MRS,312,15,0.094,yes
13,MRS,336,16,0.094,yes
13,MRS,360,17,0.094,yes
13,MRS,384,18,12,yes
13,MRS,408,19,NA,yes
13,MRS,432,20,4,yes
15,LT,24,1,0.38,yes
15,LT,48,2,0.25,yes
15,LT,72,3,12,yes
15,LT,96,6,12,yes
15,LT,120,7,12,yes
15,LT,144,8,3,yes
15,LT,168,9,24,yes
15,LT,192,10,24,yes
15,LT,216,11,32,yes
15,LT,240,12,3,yes
15,LT,264,13,24,yes
15,LT,288,14,NA,yes
15,LT,312,15,32,yes
15,LT,336,16,32,yes
15,LT,360,17,24,yes
15,LT,384,18,16,yes
15,LT,408,19,4,yes
15,LT,432,20,24,yes
16,JR,24,1,0.38,yes
16,JR,48,2,0.25,yes
16,JR,72,3,0.5,yes
16,JR,96,6,0.5,yes
16,JR,120,7,0.19,yes
16,JR,144,8,0.25,yes
16,JR,168,9,0.5,yes
16,JR,192,10,0.19,yes
16,JR,216,11,0.25,yes
16,JR,240,12,0.25,yes
16,JR,264,13,0.38,yes
16,JR,288,14,0.38,yes
16,JR,312,15,0.38,yes
16,JR,336,16,0.38,yes
16,JR,360,17,0.094,yes
16,JR,384,18,1,yes
16,JR,408,19,0.19,yes
16,JR,432,20,0.38,yes
18,CBW3,24,1,0.25,yes
18,CBW3,48,2,0.38,yes
18,CBW3,72,3,0.5,yes
18,CBW3,96,6,0.5,yes
18,CBW3,120,7,0.19,yes
18,CBW3,144,8,0.25,yes
18,CBW3,168,9,0.19,yes
18,CBW3,192,10,0.25,yes
18,CBW3,216,11,0.38,yes
18,CBW3,240,12,0.38,yes
18,CBW3,264,13,0.38,yes
18,CBW3,288,14,0.19,yes
